number,question,photo,section,A,B,C,D,E,answer
1,¿Cuál de los siguientes no es un microorganismo patógeno?,,BIOLOGÍA,Virus,Bacterias,Hongos,Protozoarios,Glóbulos blancos,E
2,¿Cuál es el principal factor que determina el clima en una región?,,BIOLOGÍA,La presencia de animales en el ecosistema.,"La altitud, la cercanía al mar y la temperatura.",La cantidad de minerales en el suelo.,La diversidad de microorganismos.,La composición de la biosfera.,B
3,¿Cuál es la importancia de los microorganismos en la industria?,,BIOLOGÍA,Son la principal fuente de contaminación ambiental.,Permiten la producción de alimentos fermentados y medicamentos.,Son responsables de todas las enfermedades en los seres vivos.,Se utilizan exclusivamente en la producción de textiles.,Solo tienen importancia en la biología y no en la medicina.,B
4,¿Qué tipo de adaptación es el camuflaje en los animales?,,BIOLOGÍA,Morfológica.,Conductual.,Fisiológica.,Genética.,Estructural,A
5,¿Cuál de los siguientes animales pertenece al grupo de los equinodermos?,,BIOLOGÍA,Pulpo,Medusa,Estrella de mar,Anguila,Salamandra,C
6,¿Cuál es la función principal de la fotosíntesis?,,BIOLOGÍA,Obtener energía a partir de materia orgánica.,Sintetizar glucosa utilizando luz solar,Producir energía en forma de ATP sin necesidad de oxígeno.,Transportar oxígeno en la sangre.,Descomponer moléculas de agua para liberar carbono.,B
7,¿Cuál de los siguientes tejidos es exclusivo de las plantas?,,BIOLOGÍA,Epidérmico,Conjuntivo,Muscular,Xilema,Nervioso,D
8,¿Qué estructura celular es la encargada de la síntesis de proteínas?,,BIOLOGÍA,Mitocondria,Lisosoma,Ribosoma,Cloroplasto,Núcleo,C
9,¿Cuál es la molécula responsable de almacenar y transmitir la información genética?,,BIOLOGÍA,ARN mensajero,ADN,Proteína,Lípidos,Glucógeno,B
10,¿Cuál de las siguientes no es una función del sistema circulatorio?,,BIOLOGÍA,Transporte de nutrientes,Regulación de la temperatura,Producción de glóbulos blancos,Eliminación de desechos metabólicos,Transporte de oxígeno y dióxido de carbono,C
11,Un agricultor ha notado que sus cultivos de tomate están siendo atacados por un tipo de hongo que reduce la producción de frutos. Sabe que algunos microorganismos pueden ser beneficiosos y otros perjudiciales. ¿Qué estrategia biotecnológica podría emplear para combatir este problema sin recurrir a productos químicos agresivos?,,BIOLOGÍA,Aumentar la exposición de las plantas a la luz solar.,Aplicar bacterias antagonistas que inhiban el crecimiento del hongo,Reducir la cantidad de agua aplicada a los cultivos.,Introducir insectos depredadores en el campo.,Utilizar fertilizantes ricos en nitrógeno.,B
12,"En un ecosistema marino, los científicos han observado que la población de tiburones ha disminuido drásticamente debido a la pesca excesiva. ¿Cuál podría ser una consecuencia ecológica de esta reducción?",,BIOLOGÍA,Aumento en la población de presas como peces pequeños y moluscos.,Disminución de la biodiversidad debido a la alteración de la cadena trófica.,Mayor proliferación de algas y cambios en la calidad del agua.,Desequilibrio en el ecosistema debido a la falta de un depredador tope.,Todas las anteriores.,E
13,"En una investigación científica, se observó que un grupo de bacterias puede sobrevivir en un ambiente extremo con temperaturas superiores a 80°C. ¿Cuál de las siguientes adaptaciones es más probable que tengan estos microorganismos?",,BIOLOGÍA,Una membrana celular altamente permeable al agua.,Enzimas resistentes a la desnaturalización por calor.,Un metabolismo basado en la fotosíntesis.,Presencia de cilios largos para moverse en busca de zonas frías.,Capacidad de vivir exclusivamente en simbiosis con otros organismos.,B
14,Un paciente es diagnosticado con una enfermedad metabólica que impide la descomposición de ciertas grasas en su organismo. ¿Qué orgánulo celular podría estar funcionando incorrectamente?,,BIOLOGÍA,Ribosomas,Mitocondrias,Lisosomas,Retículo endoplasmático rugoso.,Cloroplastos,C
15,Un equipo de biólogos marinos investiga la disminución de los arrecifes de coral en una región tropical. Identifican que el aumento de la temperatura del océano y la acidificación del agua han afectado a estos ecosistemas. ¿Cuál de los siguientes es el principal causante de estos cambios ambientales?,,BIOLOGÍA,La actividad sísmica submarina.,La reducción de la salinidad del océano.,El aumento de los gases de efecto invernadero.,La migración de especies invasoras.,La disminución de la radiación solar.,C
16,"Un científico está estudiando la evolución de una especie de insectos en un bosque. Descubre que, con el tiempo, los individuos de color marrón tienen mayor éxito reproductivo que los de color verde debido a que pueden camuflarse mejor en la corteza de los árboles. ¿Qué mecanismo evolutivo explica este fenómeno?",,BIOLOGÍA,Selección natural.,Deriva genética,Mutación inducida,Reproducción asexual,Flujo génico,A
17,"En un experimento de laboratorio, un investigador cultiva células animales en un medio con baja concentración de oxígeno. Después de varias horas, observa que las células comienzan a producir ácido láctico. ¿Qué tipo de metabolismo están utilizando estas células para obtener energía?",,BIOLOGÍA,Fotosíntesis,Fermentación láctica,Respiración aeróbica,Quimiosíntesis,Ciclo de Krebs,B
18,"En una isla remota, los científicos han encontrado una especie de ave que no puede volar, a pesar de que sus ancestros tenían alas funcionales. ¿Cuál de los siguientes conceptos explica mejor este cambio evolutivo?",,BIOLOGÍA,Adaptación a un ambiente sin depredadores.,Mutaciones aleatorias sin efecto en la supervivencia.,Hibridación con otras especies no voladoras.,Selección artificial por parte de los humanos.,Desarrollo de una nueva cadena alimentaria basada en la pesca.,A
19,Una persona que ha sufrido una lesión en la médula espinal experimenta dificultades para mover sus extremidades y no puede sentir estímulos táctiles en algunas partes del cuerpo. ¿Qué función del sistema nervioso ha sido afectada?,,BIOLOGÍA,Coordinación endocrina,Producción de anticuerpos,Transmisión de impulsos eléctricos a través de las neuronas.,Regulación de la presión arterial.,Producción de hormonas.,C
20,Un agricultor quiere mejorar la fertilidad de su suelo sin usar fertilizantes químicos. Decide utilizar bacterias del género Rhizobium. ¿Cómo ayudan estas bacterias a mejorar la calidad del suelo?,,BIOLOGÍA,Aumentan la capacidad del suelo para retener agua.,"Fijan nitrógeno atmosférico, convirtiéndolo en compuestos útiles para las plantas.",Descomponen materia orgánica en humus.,Eliminan los metales pesados del suelo,Producen fitohormonas que aceleran el crecimiento vegetal.,B
21,"En un ecosistema, los productores son organismos esenciales porque:",,BIOLOGÍA,Mantienen la biodiversidad al consumir depredadores.,Transforman la materia inorgánica en materia orgánica.,Son los principales reguladores del clima.,Se alimentan de consumidores secundarios.,Producen oxígeno a través de la respiración celular.,A
22,Un niño nace con una enfermedad genética que afecta la producción de una enzima digestiva específica. Esto indica que la mutación ocurrió en:,,BIOLOGÍA,El retículo endoplasmático.,Los ribosomas,El ADN del núcleo celular.,La membrana plasmática.,Los lisosomas.,C
23,¿Cuál de los siguientes es un ejemplo de simbiosis mutualista?,,BIOLOGÍA,Un parásito que se alimenta de su huésped.,Un león que caza una gacela.,Las bacterias intestinales que ayudan en la digestión humana.,Un hongo que infecta a una planta y la debilita.,Un árbol que compite por luz con otro árbol.,C
24,¿Cuál de los siguientes enunciados es correcto sobre el ciclo del agua?,,BIOLOGÍA,La condensación es el proceso por el cual el agua pasa de gas a líquido.,La transpiración ocurre cuando el agua se congela en los polos.,La evaporación ocurre exclusivamente en los océanos.,El agua se infiltra en el suelo únicamente en climas fríos.,La precipitación solo ocurre cuando la temperatura es inferior a 0°C.,A
25,¿Cuál de los siguientes es un factor biótico en un ecosistema?,,BIOLOGÍA,La luz solar.,La temperatura.,La humedad del suelo.,La población de hongos.,La composición del aire.,D
26,"En un bosque tropical, la tala masiva de árboles provocó la extinción local de varias especies de aves. ¿Cómo se denomina este fenómeno?",,BIOLOGÍA,Migración estacional.,Sucesión ecológica.,Pérdida de biodiversidad.,Especiación alopátrica.,Aumento de la cadena trófica.,C
27,¿Qué ocurre con la energía a medida que fluye a través de los niveles tróficos de un ecosistema?,,BIOLOGÍA,Se recicla completamente y vuelve al productor.,Se pierde en forma de calor en cada nivel.,Se multiplica a medida que se asciende en la cadena trófica.,Se transfiere sin ninguna pérdida entre organismos.,Se conserva en la misma cantidad en cada nivel.,B
28,¿Cuál es la función principal del sistema linfático en el cuerpo humano?,,BIOLOGÍA,Controlar la digestión de los alimentos,Transportar oxígeno en la sangre.,Producir hormonas para regular el metabolismo.,Defender al organismo contra infecciones,Controlar los impulsos nerviosos.,D
29,Un agricultor nota que algunas de sus plantas han desarrollado resistencia a un herbicida que utilizaba regularmente. Este fenómeno se debe a:,,BIOLOGÍA,Adaptación individual de cada planta.,Selección natural de variantes resistentes,Mutaciones inducidas por el herbicida.,Eliminación de nutrientes del suelo.,Alteraciones en la fotosíntesis.,B
30,"En un ecosistema acuático, las algas microscópicas realizan fotosíntesis y sirven de alimento para pequeños crustáceos, los cuales son consumidos por peces más grandes. En este caso, los crustáceos cumplen el rol de:",,BIOLOGÍA,Productores primarios.,Consumidores primarios.,Consumidores secundarios.,Descomponedores.,Organismos autótrofos.,B
31,"Si un gas ideal se expande a temperatura constante, según la ecuación de estado, ¿qué ocurre con la presión?",,QUÍMICA,Aumenta,Disminuye,Permanece constante,Disminuye hasta cero,Se duplica,B
32,¿Cuál es el número cuántico que determina la forma del orbital de un electrón en un átomo?,,QUÍMICA,Número cuántico principal (n),Número cuántico azimutal (l),Número cuántico magnético (m),Número cuántico de espín (s),Número de oxidación,B
33,"Si un elemento químico tiene una configuración electrónica que termina en 3d⁶ 4s², ¿a qué elemento pertenece?",,QUÍMICA,Vanadio (V),Hierro (Fe),Manganeso (Mn),Cromo (Cr),Níquel (Ni),B
34,¿Cuál de las siguientes sustancias tiene enlaces covalentes polares?,,QUÍMICA,NaCl,O₂,H₂O,Cu,Fe₂O₃,C
35,¿Qué compuesto presenta hibridación sp³ en todos sus átomos de carbono?,,QUÍMICA,Eteno,Benceno,Metano,Etino,Grafito,C
36,¿Qué tipo de reacción química ocurre cuando el etanol se oxida a ácido acético?,,QUÍMICA,Sustitución,Adición,Eliminación,Oxidación-reducción,Neutralización,D
37,"Si se duplica la concentración de un reactivo en una reacción de primer orden, ¿qué sucede con la velocidad de reacción?",,QUÍMICA,Se mantiene constante,Se duplica,Se cuadruplica,Se reduce a la mitad,Aumenta exponencialmente,B
38,¿Cuál es la principal diferencia entre un enlace iónico y un enlace covalente?,,QUÍMICA,El enlace iónico se da entre átomos de alta electronegatividad,El enlace covalente implica la transferencia completa de electrones,El enlace iónico implica la transferencia de electrones y el covalente el compartimiento de electrones,El enlace covalente ocurre solo en metales,El enlace iónico ocurre solo entre elementos del mismo grupo de la tabla periódica,C
39,¿Cuál de las siguientes sustancias es un ácido fuerte según la teoría de Arrhenius?,,QUÍMICA,H₂CO₃,HNO₃,CH₃COOH,H₂O,NH₃,B
40,¿Cuál de los siguientes factores NO afecta la velocidad de una reacción química?,,QUÍMICA,Temperatura,Concentración de reactivos,Presencia de catalizadores,Energía de activación,Masa molecular del producto,E
41,"Un gas ocupa un volumen de 10 L a 300 K y 1 atm de presión. Si la temperatura aumenta a 600 K a presión constante, 
¿cuál será el nuevo volumen?",,QUÍMICA,5 L,10 L,20 L,30 L,15 L,C
42,¿Cuál es el reactivo limitante si se combinan 4 moles de H₂ con 2 moles de O₂ para formar agua?,,QUÍMICA,H₂,O₂,H₂O,Ambos en la misma proporción,No hay reactivo limitante,A
43,"Si un átomo tiene 17 protones y 18 electrones, se trata de:",,QUÍMICA,Un ion negativo con carga -1,Un ion positivo con carga +1,Un átomo neutro,Un isótopo,Un catión con carga +2,A
44,¿Qué ocurre en una reacción endotérmica?,,QUÍMICA,Se libera calor al medio,Se absorbe calor del medio,No hay intercambio de energía,Aumenta la presión de los reactivos,Se libera gas en el proceso,B
45,"En la producción industrial del amoníaco por el proceso de Haber, ¿qué gas se utiliza como fuente de hidrógeno?",,QUÍMICA,Oxígeno,Metano,Nitrógeno,Argón,Helio,B
46,"¿Qué principio de la mecánica cuántica establece que no es posible conocer simultáneamente la posición y 
la velocidad de un electrón?",,QUÍMICA,Principio de Aufbau,Principio de Pauli,Principio de exclusión de Hund,Principio de incertidumbre de Heisenberg,Regla del octeto,D
47,¿Cuál de las siguientes sustancias tiene el mayor punto de ebullición?,,QUÍMICA,Metano (CH₄),Agua (H₂O),Oxígeno (O₂),Nitrógeno (N₂),Dióxido de carbono (CO₂),B
48,¿Cuál es el producto principal de la combustión completa del etanol (C₂H₅OH)?,,QUÍMICA,Carbono y agua,Monóxido de carbono y agua,Dióxido de carbono y agua,Hidrógeno y carbono,Acetaldehído y oxígeno,C
49,¿Cuál de los siguientes óxidos es anfótero?,,QUÍMICA,SO₂,CO₂,Na₂O,Al₂O₃,MgO,D
50,"Si el radio atómico del sodio es mayor que el del cloro, esto se debe a que:",,QUÍMICA,El sodio tiene más protones que el cloro,El sodio tiene menos electrones que el cloro,La carga nuclear efectiva es mayor en el cloro,El cloro tiene más niveles de energía que el sodio,Los electrones del sodio están más cerca del núcleo,C
51,¿Cuál de los siguientes compuestos tiene un enlace metálico?,,QUÍMICA,HCl,Fe,H₂O,CH₄,NaCl,B
52,¿Cuál es el reactivo limitante en la reacción 2H₂ + O₂ → 2H₂O si se combinan 5 moles de H₂ y 2 moles de O₂?,,QUÍMICA,H₂,O₂,H₂O,Ambos en la misma proporción,No hay reactivo limitante,A
53,"En un gas ideal, si el volumen se reduce a la mitad a temperatura constante, la presión:",,QUÍMICA,Se reduce a la mitad,Se duplica,Se mantiene constante,Aumenta cuatro veces,Disminuye a un cuarto,B
54,"Se tiene una solución de ácido acético 0.1 M. Si la constante de disociación (Ka) es 1.75 × 10⁻⁵, 
¿cuál es el pH aproximado de la solución?",,QUÍMICA,1,2.9,3.5,4.8,6,C
55,"Un gas ocupa un volumen de 8 L a 2 atm y 400 K. ¿Cuál será su volumen si la presión se reduce a 1 atm
 y la temperatura baja a 200 K?",,QUÍMICA,2 L,4 L,6 L,8 L,16 L,B
56,"Se necesita preparar 500 mL de una solución de HCl 0.5 M a partir de una solución concentrada de 2 M. 
¿Cuántos mL de la solución concentrada deben diluirse?",,QUÍMICA,50 mL,100 mL,125 mL,250 mL,500 mL,B
57,"¿Cuál es el volumen de oxígeno (O₂) requerido para reaccionar completamente con 10 L de gas hidrógeno (H₂) 
en la formación de agua, bajo condiciones estándar?",,QUÍMICA,5 L,10 L,15 L,20 L,30 L,A
58,¿Qué producto se obtiene al oxidar un alcohol secundario?,,QUÍMICA,Un aldehído,Un ácido carboxílico,Un alqueno,Una cetona,Un éter,D
59,¿Cuál de los siguientes pares de sustancias puede formar una disolución buffer?,,QUÍMICA,HCl y NaCl,CH₃COOH y CH₃COONa,H₂SO₄ y H₂O,NaOH y NaCl,NH₃ y NaOH,E
60,¿Cuál es el coeficiente estequiométrico del oxígeno en la reacción balanceada de combustión completa del etano (C₂H₆)?,,QUÍMICA,1,2,3,5,7,D
61,Un automóvil parte del reposo y se mueve con una aceleración constante de 2 m/s². ¿Qué velocidad tendrá después de 5 segundos?,,FÍSICA,5 m/s,8 m/s,10 m/s,12 m/s,15 m/s,C
62,"En un sistema oscilante, ¿cuándo se alcanza la máxima energía cinética?",,FÍSICA,En el punto de equilibrio,En los extremos del movimiento,Cuando la velocidad es cero,Cuando la aceleración es máxima,Cuando la frecuencia angular es máxima,A
63,"En el experimento de Young, el patrón de interferencia observado se debe a:",,FÍSICA,Reflexión de la luz,Polarización de la luz,Difracción y superposición de onda,Absorción de la luz por las rendijas,Cambio de frecuencia de la luz,C
64,¿Cuál de las siguientes leyes describe la relación entre la intensidad del campo eléctrico y la carga encerrada en una superficie cerrada?,,FÍSICA,Ley de Faraday,Ley de Lenz,Ley de Coulomb,Ley de Gauss,Ley de Biot-Savart,D
65,"Según la primera ley de la termodinámica, la variación de energía interna de un sistema es igual a:",,FÍSICA,El calor absorbido menos el trabajo realizado,La presión por el volumen,La temperatura por la variación de entropía,La fuerza aplicada por el desplazamiento,La energía térmica transferida menos la energía potencial,A
66,La unidad de medida del flujo magnético en el SI es:,,FÍSICA,Tesla,Weber,Henry,Coulomb,Faradio,B
67,"Según el efecto fotoeléctrico, los electrones se emiten de una superficie metálica cuando:",,FÍSICA,Se aumenta la intensidad de la luz incidente,Se disminuye la frecuencia de la luz,La energía del fotón es mayor que la función de trabajo del metal,La luz tiene mayor longitud de onda,Se aumenta la presión sobre el metal,C
68,Un objeto describe un movimiento circular uniforme. ¿Cuál de las siguientes afirmaciones es correcta?,,FÍSICA,"La velocidad lineal es constante, pero la velocidad angular varía.",La aceleración centrípeta es cero,La velocidad angular es constante y hay aceleración centrípeta.,La fuerza centrípeta es perpendicular a la aceleración centrípeta.,La energía cinética del objeto es constante solo si la velocidad angular varía.,C
69,¿Qué tipo de energía posee un resorte comprimido sin movimiento?,,FÍSICA,Energía cinética,Energía térmica,Energía potencial gravitatoria,Energía potencial elástica,Energía radiante,D
70,¿Cuál de las siguientes expresiones representa correctamente la energía interna de un gas ideal?,,FÍSICA,U=nRT,U=2/1​mv,U=3/2​n RT,U=PV,U=mgh,C
71,¿Qué fenómeno explica la separación de la luz blanca en sus diferentes colores al pasar por un prisma?,,FÍSICA,Reflexión,Refracción,Dispersión,Difracción,Polarización,C
72,¿Cuál de las siguientes leyes explica la inducción electromagnética?,,FÍSICA,Ley de Coulomb,Ley de Faraday,Ley de Ampère,Ley de Gauss,Ley de Newton,B
73,¿Cuál de los siguientes procesos térmicos ocurre a presión constante?,,FÍSICA,Isotérmico,Adiabático,Isocórico,Isobárico,Reversible,D
74,"En un ciclo de Carnot ideal, la eficiencia solo depende de:",,FÍSICA,La presión inicial y final del gas,Las temperaturas de las fuentes caliente y fría,La cantidad de calor absorbido,El tipo de gas usado,La velocidad de expansión del gas,B
75,"En un circuito en serie con una resistencia de 10 Ω y una corriente de 2 A, ¿cuál es la caída de voltaje en la resistencia?",,FÍSICA,5 V,10 V,20 V,40 V,50 V,C
76,¿Qué sucede con el flujo magnético cuando el número de líneas de campo magnético que atraviesan una superficie disminuye?,,FÍSICA,Aumenta la intensidad del campo,Disminuye el flujo magnético,Aumenta la energía cinética de las partículas,La fuerza electromotriz inducida se anula,La polaridad del campo se invierte,B
77,¿Qué postulado de Bohr explica por qué los electrones no colapsan en el núcleo atómico?,,FÍSICA,Los electrones tienen órbitas permitidas de energía cuantizada,La carga del electrón es positiva,La energía del electrón es infinita,Los electrones están en movimiento caótico,El núcleo repele a los electrones,A
78,¿Qué partícula tiene la menor masa?,,FÍSICA,Protón,Neutrón,Electrón,Positrón,Neutrino,C
79,¿Qué ecuación describe la longitud de onda asociada a una partícula según la mecánica cuántica?,,FÍSICA,E=mc,λ=h/mv,E=hf,p=mv,F=qE,B
80,"En el espectro electromagnético, los rayos X tienen:",,FÍSICA,Mayor longitud de onda que la luz visible,Menor energía que los infrarrojos,Mayor frecuencia que la luz visible,Menor frecuencia que los microondas,Mayor longitud de onda que los rayos gamma,C
81,¿Qué principio de la mecánica cuántica establece que es imposible conocer simultáneamente la posición y el momento de una partícula con precisión absoluta?,,FÍSICA,Principio de superposición,Principio de exclusión de Pauli,Principio de incertidumbre de Heisenberg,Postulado de Einstein,Teorema de Gauss,C
82,¿Cuál de los siguientes experimentos demostró la dualidad onda-partícula de los electrones?,,FÍSICA,El experimento de la gota de aceite de Millikan,El experimento de la doble rendija de Young,El experimento del espectro de hidrógeno de Balmer,El experimento de Cavendish,El experimento de Michelson-Morley,B
83,¿Qué sucede cuando un electrón en un átomo pasa de un nivel de energía alto a uno más bajo?,,FÍSICA,Absorbe un fotón,Emite un fotón,Aumenta su velocidad,Su carga cambia,Su masa se duplica,B
84,¿Cuál de los siguientes fenómenos confirma que la luz se comporta como una partícula?,,FÍSICA,Interferencia,Difracción,Reflexión,Efecto fotoeléctrico,Refracción,D
85,Un satélite en órbita alrededor de la Tierra se mantiene en movimiento debido a:,,FÍSICA,La ausencia de gravedad en el espacio,La fuerza centrífuga generada por su movimiento,La gravedad terrestre que actúa como fuerza centrípeta,La resistencia del aire que lo mantiene en órbita,Su velocidad es suficientemente baja para evitar la caída,C
86,"Si la fuerza neta sobre un cuerpo es cero, entonces el cuerpo:",,FÍSICA,Siempre está en reposo,Siempre se mueve con aceleración constante,Puede estar en reposo o en movimiento con velocidad constante,Se mueve en una trayectoria circular,Su energía cinética disminuye,C
87,Un conductor rectilíneo infinito con corriente genera un campo magnético cuya forma es:,,FÍSICA,Rectilínea en la misma dirección de la corriente,Radial saliendo del conductor,Circular alrededor del conductor,Espiral con dirección variable,Nula en todos los puntos del espacio,C
88,"En la ecuación de Maxwell-Faraday, el campo eléctrico inducido por un campo magnético variable genera:",,FÍSICA,Una corriente eléctrica,Un campo magnético adicional,Un campo eléctrico no conservativo,Un potencial gravitacional,Una carga eléctrica neta,C
89,¿Qué fenómeno evidencia la naturaleza cuántica de la energía de los electrones en un átomo?,,FÍSICA,El espectro continuo de emisión,La dispersión de Rayleigh,Los espectros de líneas de emisión y absorción,El efecto Doppler en la luz,La refracción en prismas,C
90,"Según la teoría de la relatividad de Einstein, ¿qué sucede con el tiempo cuando un objeto se mueve a velocidades cercanas a la de la luz respecto a un observador en reposo?",,FÍSICA,Se acelera,Permanece invariable,Se desacelera desde la perspectiva del objeto,Se dilata desde la perspectiva del observador en reposo,Se invierte en el sistema del objeto,D
91,¿Qué filósofo es considerado el padre de la metafísica?,,FILOSOFÍA,Sócrates,Platón,Aristóteles,Descartes,Heráclito,C
92,¿Cuál de las siguientes doctrinas filosóficas niega la existencia del mundo exterior?,,FILOSOFÍA,Empirismo,Materialismo,Idealismo subjetivo,Racionalismo,Pragmatismo,C
93,"Según Platón, ¿cuál es la realidad última y eterna?",,FILOSOFÍA,El cosmos,La materia,Los sentidos,Las ideas,El devenir,D
94,¿Qué corriente filosófica sostiene que el conocimiento proviene exclusivamente de la experiencia?,,FILOSOFÍA,Idealismo,Racionalismo,Positivismo,Existencialismo,Empirismo,E
95,"¿Quién afirmó la famosa frase 'Pienso, luego existo'?",,FILOSOFÍA,Hegel,Descartes,Kant,Nietzsche,Locke,B
96,¿Cuál es el concepto central de la filosofía de Friedrich Nietzsche?,,FILOSOFÍA,El deber moral,La dialéctica,El escepticismo,La voluntad de poder,La teoría de las ideas,D
97,¿Qué filósofo medieval intentó demostrar la existencia de Dios mediante el argumento ontológico?,,FILOSOFÍA,Guillermo de Ockham,San Agustín,Santo Tomás de Aquino,San Anselmo,Avicena,A
98,¿Qué filósofo fue el creador del concepto de 'contrato social'?,,FILOSOFÍA,Aristóteles,John Locke,Jean-Jacques Rousseau,Karl Marx,Maquiavelo,C
99,¿Qué filósofo sostuvo que la historia de la humanidad es la historia de la lucha de clases?,,FILOSOFÍA,Nietzsche,Hegel,Marx,Comte,Foucault,C
100,"Según Kant, ¿qué es el imperativo categórico?",,FILOSOFÍA,Una regla basada en la utilidad,Un mandato condicional,Un principio universal y moral,Una ley de la naturaleza,Un postulado metafísico,C
101,¿Cuál de las siguientes afirmaciones define mejor el existencialismo?,,FILOSOFÍA,La existencia precede a la esencia,La realidad es una ilusión,El conocimiento proviene de la experiencia,La moral depende de Dios,La historia es cíclica,A
