number,question,photo,section,A,B,C,D,E,answer
102,¿Qué filósofo postuló el 'mito de la caverna' como una metáfora del conocimiento?,,FILOSOFÍA,Aristóteles,Descartes,Epicuro,Hume,Platón,E
103,¿Qué filósofo desarrolló el concepto de la 'dialéctica hegeliana'?,,FILOSOFÍA,Karl Marx,Augusto Comte,Georg Wilhelm Friedrich Hegel,John Stuart Mill,David Hume,B
104,¿Quién es considerado el padre del empirismo moderno?,,FILOSOFÍA,Immanuel Kant,René Descartes,David Hume,John Locke,Francis Bacon,D
105,¿Qué filósofo afirmaba que el 'superhombre' debía superar la moral tradicional?,,FILOSOFÍA,Sartre,Hegel,Nietzsche,Marx,Kierkegaard,C
106,¿Quién es el fundador del materialismo histórico?,,FILOSOFÍA,Hegel,Marx,Kant,Comte,Foucault,B
107,¿Qué corriente filosófica considera que el ser humano está condenado a ser libre?,,FILOSOFÍA,Existencialismo,Empirismo,Racionalismo,Materialismo,Positivismo,A
108,¿Qué filósofo medieval desarrolló las 'Cinco Vías' para demostrar la existencia de Dios?,,FILOSOFÍA,Santo Tomás de Aquino,San Anselmo,Santo Tomás de Aquino,Descartes,Nietzsche,A
109,¿Cuál es la principal obra de Platón donde expone su teoría de las Ideas?,,FILOSOFÍA,Fedón,República,Timeo,Gorgias,Leyes,B
110,¿Qué filósofo afirmó 'El hombre es la medida de todas las cosas'?,,FILOSOFÍA,Platón,Aristóteles,Protágoras,Tales de Mileto,Sócrates,C
111,¿Qué filósofo griego distinguió entre sustancia y accidente?,,FILOSOFÍA,Heráclito,Parménides,Aristóteles,Empédocles,Pitágoras,C
112,¿Qué corriente filosófica sostiene que la verdad es relativa y depende del contexto cultural?,,FILOSOFÍA,Escepticismo,Dogmatismo,Positivismo,Pragmatismo,Relativismo,E
113,¿Cuál de las siguientes es una obra de Friedrich Nietzsche?,,FILOSOFÍA,Más allá del bien y del mal,Así habló Zaratustra,El ser y la nada,Crítica de la razón pura,Ser y tiempo,A
114,¿Qué filósofo promovió el método socrático de enseñanza?,,FILOSOFÍA,Aristóteles,Epicuro,Sócrates,Demócrito,Hume,C
115,¿Cuál de los siguientes conceptos está más relacionado con la filosofía de Karl Marx?,,FILOSOFÍA,Superhombre,Lógica trascendental,Metafísica de las costumbres,Deber moral,Lucha de clases,E
116,¿Qué filósofo francés es considerado el padre del existencialismo moderno?,,FILOSOFÍA,Sartre,Heidegger,Kierkegaard,Camus,Descartes,A
117,"¿Quién escribió 'El Príncipe', obra fundamental del pensamiento político?",,FILOSOFÍA,Aristóteles,Locke,Maquiavelo,Hobbes,Rousseau,C
118,¿Qué corriente filosófica promueve la búsqueda del placer como principio fundamental?,,FILOSOFÍA,Estoicismo,Hedonismo,Idealismo,Utilitarismo,Materialismo,B
119,¿Qué filósofo utilizó el concepto de 'ser-para-la-muerte' en su obra?,,FILOSOFÍA,Nietzsche,Sartre,Heidegger,Husserl,Foucault,C
120,¿Cuál de los siguientes filósofos defendió el 'principio de falsabilidad' en la ciencia?,,FILOSOFÍA,Descartes,Hume,Popper,Kuhn,Wittgenstein,C
121,¿Cuál de los siguientes enunciados describe mejor la diferencia entre macroeconomía y microeconomía?,,ECONOMÍA,"La microeconomía estudia el desempleo y la inflación, mientras 
que la macroeconomía analiza mercados específicos.","La macroeconomía se enfoca en la economía de un país en su conjunto, 
mientras que la microeconomía estudia decisiones individuales y de empresas.","La microeconomía analiza el crecimiento del PIB, mientras que la macroeconomía se centra en 
los costos de producción.","La macroeconomía solo estudia los mercados financieros, mientras 
que la microeconomía se enfoca en el comercio internacional.","Ambas estudian lo mismo, pero con diferentes enfoques temporales.",B
122,"Si un país incrementa la oferta monetaria de forma excesiva sin un respaldo productivo adecuado, ¿qué fenómeno 
económico es más probable que ocurra?",,ECONOMÍA,Deflación,Reducción del PIB,Recesión,Aumento del desempleo,Inflación,E
123,¿Cuál de las siguientes NO es una función del Banco Central de un país?,,ECONOMÍA,Regular la oferta monetaria,Controlar la inflación,Administrar el presupuesto nacional,Supervisar el sistema financiero,Emitir la moneda nacional,C
124,"En un mercado con estructura oligopólica, es común observar que:",mercado_oligopolico.jpg,ECONOMÍA,Muchas empresas compiten con productos homogéneos.,Los precios son determinados libremente sin influencia de otras empresas.,Unas pocas empresas dominan el mercado y pueden influir en los precios.,Existe libre entrada y salida de empresas sin barreras.,Hay un solo vendedor que controla toda la oferta.,C
125,Un país con una balanza comercial superavitaria significa que:,,ECONOMÍA,Sus importaciones son mayores que sus exportaciones.,Sus exportaciones son mayores que sus importaciones.,Tiene un déficit en su cuenta corriente.,Ha reducido su deuda externa.,Su tipo de cambio está cayendo.,B
126,El Producto Bruto Interno (PBI) real se diferencia del PBI nominal en que:,,ECONOMÍA,"El PBI real está ajustado por la inflación, mientras que el 
nominal no","El PBI nominal mide la producción total y el real solo la producción 
manufacturera.","El PBI nominal se usa para medir crecimiento, mientras que el real mide inflación.",Ambos miden exactamente lo mismo sin distinción alguna.,Solo el PBI nominal se expresa en dólares.,A
127,"Si la tasa de interés en una economía aumenta significativamente, es probable que:",,ECONOMÍA,El consumo y la inversión disminuyan.,El consumo y la inversión aumenten.,La inflación aumente drásticamente.,El gobierno reduzca su gasto público.,El desempleo disminuya automáticamente.,A
128,"Observa el gráfico del PBI de un país. ¿Cuál de los siguientes factores podría haber contribuido a una caída en el PBI 
en cierto período?",,ECONOMÍA,Aumento de la inversión extranjera.,Expansión del gasto público.,Disminución de la tasa de interés.,Un ciclo de recesión económica global.,Aumento del consumo interno.,D
129,"En una economía con desempleo estructural alto, la mejor política para reducirlo sería:",evolucion_pib.jpg,ECONOMÍA,Reducir los impuestos a las empresas para incentivar la inversión.,"Aplicar programas de capacitación laboral para adaptar la fuerza de trabajo 
a las necesidades del mercado.",Incrementar la oferta monetaria para generar inflación.,Fomentar el consumo reduciendo la tasa de interés.,Aumentar el gasto público en subsidios directos.,B
130,Observa el gráfico sobre la tasa de desempleo. Un aumento significativo en esta tasa puede ser causado por:,tasa_desempleo.jpg,ECONOMÍA,Una caída en la demanda agregada,Un incremento en la inversión privada.,Una disminución de los impuestos.,Una reducción en la oferta de dinero.,Un aumento de las exportaciones.,A
131,"En un contexto de inflación descontrolada, el Banco Central podría:",,ECONOMÍA,Reducir la tasa de interés para incentivar el crédito.,Aumentar la oferta monetaria para generar más crecimiento.,Subir la tasa de interés para desacelerar el consumo y la inversión,Disminuir la tasa de encaje bancario para facilitar préstamos.,Emitir más dinero para compensar la inflación.,C
132,"Si el tipo de cambio de un país se deprecia frente al dólar, ¿qué impacto directo tendrá en su economía?",,ECONOMÍA,"Las exportaciones serán más caras para los compradores 
extranjeros.",Las importaciones serán más baratas para los consumidores locales.,No tendrá impacto significativo en la balanza comercial.,Los bienes importados serán más costosos.,Se reducirá la inflación.,D
133,"En la tabla de impuestos, ¿cuál de los siguientes impuestos es considerado indirecto?",tabla_impuestos.jpg,ECONOMÍA,Impuesto a la Renta,IGV,Impuesto Predial,Impuesto sobre la Renta Empresarial,Impuesto a la Herencia,B
134,"Si un país sufre una crisis económica con alto desempleo y bajo crecimiento, una política fiscal expansiva podría incluir:",,ECONOMÍA,Aumento del gasto público en infraestructura.,Aumento de la tasa de interés.,Disminución del déficit fiscal a través de recortes de gasto.,Reducción de la oferta monetaria.,Restricciones al crédito bancario.,A
135,Observa la tabla sobre los tipos de impuestos. ¿Cuál de las siguientes afirmaciones es correcta?,tabla_impuestos.jpg,ECONOMÍA,El impuesto a la renta es un impuesto indirecto.,El IGV grava directamente el ingreso de las personas.,Los impuestos directos afectan principalmente a los consumidores en cada transacción.,"Los impuestos indirectos afectan a los consumidores pero no 
directamente a sus ingresos.",Los impuestos prediales son un tipo de impuesto indirecto.,D
136,"En una economía de mercado, la asignación de recursos está determinada principalmente por:",,ECONOMÍA,El gobierno central.,La planificación estatal.,La cantidad de dinero en circulación.,El Banco Central.,Las decisiones de los consumidores y empresas a través de la oferta y la demanda.,E
137,"Si el coeficiente de Gini de un país aumenta, esto indica que:",,ECONOMÍA,La inflación ha disminuido.,La desigualdad en la distribución del ingreso ha aumentado.,El desempleo ha caído.,La economía ha crecido de manera equitativa.,Ha habido una redistribución de riqueza a favor de los más pobres.,B
138,"En una economía con una tasa de inflación del 10% anual, ¿qué efecto tendría un aumento significativo en la tasa de 
interés del Banco Central?",,ECONOMÍA,Aumentaría el consumo y la inversión.,Fomentaría el endeudamiento de empresas y familias.,"Desincentivaría el consumo y la inversión, reduciendo la inflación.",Provocaría una disminución en el desempleo.,Haría que el tipo de cambio se depreciara.,C
139,"En la siguiente gráfica de oferta y demanda, ¿qué sucederá si el gobierno fija un precio máximo por debajo del precio 
de equilibrio?",grafico_precio_maximo.jpg,ECONOMÍA,Se generará un exceso de oferta.,Se producirá escasez del bien.,El mercado alcanzará automáticamente un nuevo equilibrio.,No habrá ningún impacto en el mercado.,Aumentará la producción del bien.,B
140,El efecto multiplicador en economía se refiere a:,,ECONOMÍA,"El impacto de una variación del gasto en la producción total de 
la economía.",La relación entre inflación y desempleo.,La elasticidad precio de la demanda.,La variación de la oferta monetaria en el tipo de cambio.,La diferencia entre el PIB nominal y el PIB real.,A
141,¿Cuál de los siguientes factores NO afecta directamente la demanda agregada?,,ECONOMÍA,El consumo privado.,La inversión empresarial.,El gasto público.,La productividad de los trabajadores.,Las exportaciones netas.,D
142,"Si un país sufre una crisis económica y el gobierno decide aumentar el gasto público sin incrementar los impuestos, 
esto provocará:",,ECONOMÍA,Un superávit fiscal.,Una reducción en la deuda pública.,Un déficit fiscal.,Un aumento en la tasa de interés.,Una reducción del nivel de precios.,C
143,"Observa la gráfica sobre la relación entre inflación y tasa de desempleo. Según la curva de Phillips, si el desempleo 
disminuye, es probable que:",grafico_curva_phillips.jpg,ECONOMÍA,La inflación se reduzca.,La inflación aumente.,La economía entre en recesión.,La tasa de interés caiga drásticamente.,No haya cambios en los precios.,B
144,"Si el tipo de cambio de un país se aprecia respecto al dólar, ¿qué efecto tendrá esto en la economía nacional?",,ECONOMÍA,Los productos importados serán más baratos.,Los productos nacionales serán más competitivos en el exterior.,El turismo extranjero hacia el país aumentará.,La inflación se incrementará.,Habrá un aumento del déficit comercial.,A
145,"Observa el gráfico de evolución del PIB per cápita. ¿Cuál de los siguientes factores podría haber contribuido a su 
disminución en un periodo determinado?",grafico_pib_per_capita.jpg,ECONOMÍA,Disminución de la productividad laboral.,Aumento en la inversión privada.,Aumento del gasto público en infraestructura.,Crecimiento del empleo formal.,Expansión del comercio internacional.,A
146,"En el modelo IS-LM, un aumento en el gasto público sin cambios en la política monetaria tiende a:",,ECONOMÍA,Reducir la tasa de interés y aumentar la inversión.,Aumentar la tasa de interés y reducir la inversión.,No afectar el nivel de producción.,Disminuir la demanda agregada.,Generar una apreciación de la moneda local.,B
147,"Si un gobierno decide aumentar los impuestos a los consumidores sin incrementar el gasto público, es probable que:",,ECONOMÍA,La inflación aumente.,La balanza comercial se vuelva superavitaria.,El PIB crezca rápidamente.,El desempleo se reduzca automáticamente.,La demanda agregada disminuya.,E
148,"Observa la tabla de tasas de impuestos en diferentes países. Según los datos, un país con impuestos altos a la renta y 
bajos impuestos al consumo tendrá:",tabla_tasas_impuestos.jpg,ECONOMÍA,Mayor recaudación en sectores de bajos ingresos.,Mayor carga fiscal sobre los consumidores.,Un sistema tributario progresivo.,Menor ingreso fiscal total.,Una mayor evasión fiscal.,C
149,"En un país con inflación moderada y crecimiento estable, la mejor política monetaria para mantener el equilibrio 
económico es:",,ECONOMÍA,Aumentar drásticamente la oferta monetaria.,Reducir la tasa de interés para estimular el crédito.,Mantener una política monetaria neutral sin grandes cambios.,Elevar los impuestos para reducir la liquidez.,Expandir el gasto público agresivamente.,C
150,"Observa la tabla de componentes del déficit fiscal. Según los datos, ¿cuál de los siguientes factores ha tenido el 
mayor impacto en el déficit?",tabla_deficit_fiscal.jpg,ECONOMÍA,Reducción de ingresos fiscales.,Disminución del gasto público.,Aumento del superávit comercial.,Crecimiento del PIB nominal.,Apreciación del tipo de cambio.,A
151,¿Cuál es la principal cordillera del Perú?,,GEOGRAFÍA,Cordillera de los Andes,Cordillera Blanca,Cordillera Central,Cordillera Occidental,Cordillera Oriental,A
152,¿Qué océano baña la costa del Perú?,,GEOGRAFÍA,Atlántico,Índico,Pacífico,Antártico,Ártico,C
153,¿Cuál es el río más largo del Perú?,,GEOGRAFÍA,Río Amazonas,Río Ucayali,Río Marañón,Río Madre de Dios,Río Huallaga,A
154,¿Qué región natural del Perú se caracteriza por su clima seco y desértico?,,GEOGRAFÍA,Costa,Sierra,Selva,Puna,Yunga,A
155,¿En qué hemisferios se encuentra ubicado el Perú?,,GEOGRAFÍA,Norte y Oeste,Sur y Oeste,Norte y Este,Sur y Este,Solo en el hemisferio Oeste,B
156,¿Cuál es el lago navegable más alto del mundo?,,GEOGRAFÍA,Lago Titicaca,Lago Baikal,Lago Victoria,Lago Superior,Lago Michigan,A
157,¿Qué corriente marina influye en el clima árido de la costa peruana?,,GEOGRAFÍA,Corriente de Humboldt,Corriente del Niño,Corriente del Golfo,Corriente de Benguela,Corriente Circumpolar,A
158,¿Cuál de estos países no tiene frontera con Perú?,,GEOGRAFÍA,Ecuador,Brasil,Argentina,Colombia,Chile,C
159,¿Qué tipo de relieve predomina en la sierra peruana?,,GEOGRAFÍA,Llanuras,Mesetas,Montañas,Valles,Depresiones,C
160,¿En qué región se encuentra el Nevado Huascarán?,,GEOGRAFÍA,Cusco,Áncash,Puno,Arequipa,Junín,B
161,¿Cuál es el desierto más extenso de Sudamérica?,,GEOGRAFÍA,Sechura,Atacama,Monte,Patagónico,Guajira,B
162,¿Qué fenómeno climático provoca lluvias intensas en la costa del Perú?,,GEOGRAFÍA,La Niña,El Niño,Corriente de Humboldt,Anticiclón del Pacífico,Zona de Convergencia Intertropical,B
163,¿Cuál es la capital de la región más extensa del Perú?,,GEOGRAFÍA,Iquitos,Puerto Maldonado,Pucallpa,Moyobamba,Huancayo,A
164,¿En qué región del Perú se encuentra el Cañón del Colca?,,GEOGRAFÍA,Cusco,Arequipa,Puno,Moquegua,Apurímac,B
165,¿Cómo se llama la capital de la provincia más austral del Perú?,,GEOGRAFÍA,Ilo,Tacna,Moquegua,Arequipa,Puno,B
166,¿Cuál es la principal actividad económica en la selva peruana?,,GEOGRAFÍA,Agricultura,Minería,Turismo,Pesca,Ganadería,A
167,¿Qué país sudamericano tiene la mayor extensión territorial?,,GEOGRAFÍA,Argentina,Brasil,Perú,Colombia,Venezuela,B
168,"¿Qué región del Perú es conocida como ""la despensa del país""?",,GEOGRAFÍA,Costa,Selva,Sierra,Amazonía,Yunga,C
169,¿Qué ríos forman el Amazonas en territorio peruano?,,GEOGRAFÍA,Ucayali y Marañón,Madre de Dios y Putumayo,Urubamba y Mantaro,Mantaro y Huallaga,Putumayo y Marañón,A
170,¿Qué departamento del Perú posee la mayor cantidad de parques nacionales?,,GEOGRAFÍA,Loreto,Madre de Dios,Ucayali,San Martín,Puno,B
171,¿Cuál es la capital de Australia?,,GEOGRAFÍA,Sídney,Melbourne,Canberra,Brisbane,Perth,C
172,¿Qué país sudamericano no tiene salida al mar?,,GEOGRAFÍA,Uruguay,Ecuador,Paraguay,Venezuela,Guyana,C
173,¿Qué línea imaginaria divide la Tierra en hemisferio norte y sur?,,GEOGRAFÍA,Trópico de Cáncer,Trópico de Capricornio,Meridiano de Greenwich,Ecuador,Círculo Polar Ártico,D
174,¿En qué continente se encuentra el desierto del Sahara?,,GEOGRAFÍA,América,Asia,África,Oceanía,Europa,C
175,¿Cuál es el país más poblado del mundo?,,GEOGRAFÍA,India,Estados Unidos,Brasil,China,Rusia,D
176,¿Cuál es la capital de Rusia?,,GEOGRAFÍA,San Petersburgo,Kiev,Moscú,Minsk,Kazán,C
177,¿En qué continente se encuentra el Everest?,,GEOGRAFÍA,América,Asia,África,Europa,Oceanía,B
178,¿Cuál es el río más largo del mundo?,,GEOGRAFÍA,Amazonas,Nilo,Yangtsé,Misisipi,Congo,A
179,"¿Qué país es conocido como ""el techo del mundo""?",,GEOGRAFÍA,India,Nepal,China,Tíbet,Mongolia,D
180,¿Dónde se encuentra el monte Kilimanjaro?,,GEOGRAFÍA,Sudáfrica,Egipto,Kenia,Tanzania,Nigeria,D
181,¿Cuál fue la principal causa de la Revolución Francesa?,,HISTORIA UNIVERSAL,La crisis económica y social,La expansión del Imperio Napoleónico,La Guerra de los Siete Años,La independencia de Estados Unidos,La invasión británica,A
182,¿Qué documento promulgó los principios de libertad e igualdad durante la Revolución Francesa?,,HISTORIA UNIVERSAL,Declaración de Independencia,Carta Magna,Declaración de los Derechos del Hombre y del Ciudadano,Código Napoleónico,Manifiesto Comunista,C
183,¿Quién lideró la Revolución de Independencia de Haití?,,HISTORIA UNIVERSAL,Simón Bolívar,Toussaint Louverture,Napoleón Bonaparte,Maximilien Robespierre,George Washington,B
184,¿Qué tratado puso fin a la Primera Guerra Mundial?,,HISTORIA UNIVERSAL,Tratado de Versalles,Tratado de Tordesillas,Tratado de Utrecht,Tratado de París,Tratado de Brest-Litovsk,A
185,¿En qué año comenzó la Revolución Industrial?,,HISTORIA UNIVERSAL,Siglo XVI,Siglo XVII,Siglo XVIII,Siglo XIX,Siglo XX,C
186,¿Qué monarca inglés fue ejecutado durante la Revolución Inglesa?,,HISTORIA UNIVERSAL,Enrique VIII,Carlos I,Jorge III,Eduardo VI,Ricardo III,B
187,¿Quién fue el líder de la Unificación Italiana?,,HISTORIA UNIVERSAL,Giuseppe Garibaldi,Otto von Bismarck,Napoleón III,Víctor Manuel II,Francisco José I,A
188,¿Cuál de estos países NO formó parte de la Triple Entente en la Primera Guerra Mundial?,,HISTORIA UNIVERSAL,Francia,Rusia,Alemania,Reino Unido,Italia,C
189,¿Qué evento marcó el inicio de la Segunda Guerra Mundial?,,HISTORIA UNIVERSAL,La invasión de Polonia,El ataque a Pearl Harbor,La firma del Pacto de Múnich,El bombardeo de Hiroshima,La Guerra Civil Española,A
190,¿Qué país fue el primero en industrializarse?,,HISTORIA UNIVERSAL,Alemania,Francia,Reino Unido,Estados Unidos,Rusia,C
191,¿Cuál fue la causa principal de la Guerra Fría?,,HISTORIA UNIVERSAL,La rivalidad entre Estados Unidos y la URSS,La caída del Imperio Otomano,La independencia de India,El auge del nazismo,El tratado de Versalles,A
192,"¿Cuál de los siguientes imperios fue conocido como ""el imperio donde nunca se ponía el sol""?",,HISTORIA UNIVERSAL,Imperio Ruso,Imperio Otomano,Imperio Español,Imperio Británico,Imperio Napoleónico,D
193,¿Quién fue el líder de la Revolución Rusa de 1917?,,HISTORIA UNIVERSAL,Iósif Stalin,León Trotsky,Nicolás II,Vladímir Lenin,Rasputín,D
194,¿Qué imperio se disolvió tras la Primera Guerra Mundial?,,HISTORIA UNIVERSAL,Imperio Británico,Imperio Otomano,Imperio Chino,Imperio Bizantino,Imperio Persa,B
195,¿Quién proclamó la independencia de la India en 1947?,,HISTORIA UNIVERSAL,Mahatma Gandhi,Jawaharlal Nehru,Winston Churchill,Muhammad Ali Jinnah,Indira Gandhi,A
196,¿Cuál fue la causa principal de la Guerra de los Cien Años?,,HISTORIA UNIVERSAL,La disputa entre Francia e Inglaterra por el trono francés,La invasión mongola de Europa,La guerra entre el Sacro Imperio y España,El auge del protestantismo,La caída de Constantinopla,A
197,¿Qué tratado dividió el mundo entre España y Portugal en 1494?,,HISTORIA UNIVERSAL,Tratado de Versalles,Tratado de Tordesillas,Tratado de Utrecht,Tratado de París,Tratado de Brest-Litovsk,B
198,¿Qué acontecimiento marcó el inicio de la Edad Moderna?,,HISTORIA UNIVERSAL,La Revolución Francesa,La caída de Constantinopla,El descubrimiento de América,La Reforma Protestante,La Guerra de los Cien Años,C
199,¿Qué país se convirtió en la primera república comunista en 1917?,,HISTORIA UNIVERSAL,Alemania,Rusia,China,Corea del Norte,Cuba,B
200,¿Cuál fue el principal objetivo del Congreso de Viena en 1815?,,HISTORIA UNIVERSAL,Reorganizar Europa tras la derrota de Napoleón,Declarar la independencia de América Latina,Expandir el Imperio Británico,Crear la Unión Europea,Firmar el Tratado de Tordesillas,A
201,¿Cuál fue la causa principal de la caída del Imperio Romano de Occidente?,,HISTORIA UNIVERSAL,La invasión de los vikingos,La caída del Imperio Romano,La peste negra,La Revolución Francesa,La Revolución Industrial,C
202,¿Qué personaje es conocido por la unificación de Alemania en el siglo XIX?,,HISTORIA UNIVERSAL,Otto von Bismarck,Napoleón Bonaparte,Alejandro Magno,Julio César,Alejandro Magno,A
203,¿En qué año se firmó la Declaración de Independencia de Estados Unidos?,,HISTORIA UNIVERSAL,1776,1789,1815,1914,1945,B
204,¿Cuál de estos eventos marcó el inicio de la Edad Contemporánea?,,HISTORIA UNIVERSAL,La Revolución Industrial,La Revolución Francesa,La Revolución Industrial,La Revolución Rusa,La Revolución Inglesa,D
205,¿Cuál fue el conflicto que enfrentó a la URSS y Estados Unidos sin un enfrentamiento directo entre ellos?,,HISTORIA UNIVERSAL,La Guerra de Vietnam,La Guerra Fría,La Guerra de los Cien Años,La Guerra Civil Española,La Guerra de los Treinta Años,A
206,¿Qué civilización fue la primera en desarrollar la escritura cuneiforme?,,HISTORIA UNIVERSAL,Los mayas,Los incas,Los mayas,Los incas,Los vikingos,C
207,¿Quién fue el primer emperador de China?,,HISTORIA UNIVERSAL,Confucio,Buda,Confucio,Aristóteles,Descartes,B
208,¿Qué tratado puso fin a la Segunda Guerra Mundial en Europa?,,HISTORIA UNIVERSAL,Tratado de Versalles,Tratado de Utrecht,Tratado de Tordesillas,Tratado de Versalles,Tratado de Tordesillas,B
209,¿Quién fue el principal impulsor de la Reforma Protestante?,,HISTORIA UNIVERSAL,Juan Calvino,Martín Lutero,Juan Calvino,Tomás de Aquino,San Agustín,D
210,¿Cuál fue el motivo de la Guerra del Opio entre China y Gran Bretaña?,,HISTORIA UNIVERSAL,Disputas territoriales en Asia,Expansión del Imperio Otomano,La caída de Constantinopla,La Revolución Francesa,La Independencia de Estados Unidos,A
211,¿Quién fue el último emperador inca antes de la llegada de los españoles?,,HISTORIA DEL PERÚ,Atahualpa,Huáscar,Túpac Amaru I,Manco Cápac,Pachacútec,E
212,"¿En qué año se produjo la batalla de Ayacucho, que consolidó la independencia del Perú?",,HISTORIA DEL PERÚ,1821,1830,1824,1815,1800,D
213,¿Cuál fue la civilización preincaica que construyó la ciudadela de Chan Chan?,,HISTORIA DEL PERÚ,Nazca,Moche,Chimú,Paracas,Tiahuanaco,C
214,¿Qué virrey del Perú implementó las reformas borbónicas en el siglo XVIII?,,HISTORIA DEL PERÚ,Blasco Núñez de Vela,José de la Serna,Manuel de Amat y Juniet,José Fernando de Abascal,Francisco de Toledo,E
215,¿Quién proclamó la independencia del Perú en 1821?,,HISTORIA DEL PERÚ,José de San Martín,Simón Bolívar,Miguel Grau,Antonio José de Sucre,José Faustino Sánchez Carrión,C
216,¿Qué tratado puso fin a la Guerra del Pacífico entre Perú y Chile?,,HISTORIA DEL PERÚ,Tratado de Ancón,Tratado de Lima,Tratado de Versalles,Tratado de París,Tratado de Tordesillas,E
217,¿Cuál fue la capital del Imperio Inca?,,HISTORIA DEL PERÚ,Cusco,Quito,Lima,Arequipa,Trujillo,D
218,¿Qué presidente peruano implementó la reforma agraria en 1969?,,HISTORIA DEL PERÚ,Fernando Belaúnde Terry,Alan García,Juan Velasco Alvarado,Ollanta Humala,Alberto Fujimori,A
219,¿Qué cultura preincaica construyó las Líneas de Nazca?,,HISTORIA DEL PERÚ,Moche,Wari,Nazca,Caral,Chavín,A
220,¿Qué nombre recibió el levantamiento indígena liderado por Túpac Amaru II en 1780?,,HISTORIA DEL PERÚ,La rebelión de los incas,La insurrección del Tahuantinsuyo,La gran rebelión,La guerra indígena,El levantamiento incaico,E
221,¿En qué año se produjo la Guerra del Pacífico?,,HISTORIA DEL PERÚ,1864,1870,1879,1884,1890,C
222,¿Quién fue el líder de la Expedición Libertadora que llegó al Perú en 1820?,,HISTORIA DEL PERÚ,Bernardo O'Higgins,Simón Bolívar,José de San Martín,Manuel Belgrano,Antonio José de Sucre,B
