number,question,photo,section,A,B,C,D,E,answer
453,El resultado de (−5)×(−8)+12÷(−4) es 38.,,ARITMÉTICA,36,38,40,37,38,
454,La representación decimal de 87​ es 0.875.,,ARITMÉTICA,0.875,0.78,0.87,0.88,0.777,
455,Un número irracional entre las opciones dadas es π.,,ARITMÉTICA,25​,43​,π,1.5,0.5,
456,"Si a:b=2:3 y b:c=4:5, la razón a:c es 8:15.",,ARITMÉTICA,2:5,8:15,6:7,4:7,5:9,
457,"Si $600 se reparte en partes inversamente proporcionales a 2 y 3, la mayor parte recibe $360.",,ARITMÉTICA,200,300,360,240,150,
458,"La media de las edades 10, 12, 15, 18 y 25 es 16.",,ARITMÉTICA,15,16,18,20,14,
459,La probabilidad de obtener un número par al lanzar un dado es 21​.,,ARITMÉTICA,61​,31​,21​,32​,65​,
460,"Si 3x−5=16, el valor de x es 6.",,ARITMÉTICA,5,6,7,8,9,
461,Las soluciones de la ecuación x2−5x+6=0 son 2 y 3.,,ARITMÉTICA,1 y 6,2 y 3,-2 y -3,3 y 5,-1 y -6,
462,El menor número divisible por 8 y 12 es 24.,,ARITMÉTICA,12,16,24,32,48,
463,82/3 es igual a 4.,,ARITMÉTICA,4,6,8,16,4,
464,log2​16 es igual a 4.,,ARITMÉTICA,2,3,4,5,6,
465,"Si un producto cuesta $200 y se aplica un descuento del 15%, el precio final es $180.",,ARITMÉTICA,$170,$180,$185,$190,$195,
466,"Si 4 obreros construyen una casa en 12 días, 6 obreros la construirán en 8 días.",,ARITMÉTICA,8,9,10,11,12,
467,El MCD de 42 y 56 es 14.,,ARITMÉTICA,7,8,14,21,28,
468,"El término 10 de la progresión aritmética 3, 7, 11, 15,... es 35.",,ARITMÉTICA,35,40,45,50,55,
469,El interés simple de $5000 con una tasa del 4% anual en 3 años es $600.,,ARITMÉTICA,$600,$500,$400,$300,$700,
470,"Si se invierten $2000 a una tasa de interés compuesto del 10% anual durante 2 años, el monto final es $2420.",,ARITMÉTICA,"$2,200","$2,400","$2,420","$2,420","$2,420",
471,"La media de los números 5, 10, 15, 20 y 25 es 15.",,ARITMÉTICA,10,12,15,18,20,
472,"La mediana del conjunto 2, 4, 6, 8, 10, 12, 14 es 8.",,ARITMÉTICA,6,7,8,9,10,
473,"La moda del conjunto 3, 4, 5, 5, 6, 7, 7, 7, 8 es 7.",,ARITMÉTICA,5,6,7,8,No hay moda,
474,La probabilidad de sacar un as en una baraja de 52 cartas es 131​.,,ARITMÉTICA,41​,131​,261​,521​,21​,
475,Un auto que viaja a 80 km/h recorrerá 240 km en 3 horas.,,ARITMÉTICA,2 horas,2.5 horas,3 horas,3.5 horas,4 horas,
476,"Si un premio de $1200 se reparte en partes proporcionales a 2, 3 y 5, la parte mayor recibe $500.",,ARITMÉTICA,$200,$300,$500,$600,$800,
477,La factorización de x2−9 es (x+3)(x−3).,,ARITMÉTICA,(x+3)(x−3),(x+3)(x+3),(x−3)(x−3),(x+9)(x−1),No se puede factorizar,
478,El resultado de 43​+65​ es 2419​.,,ARITMÉTICA,2419​,2418​,2417​,2420​,2421​,
479,La fracción equivalente de 0.125 es 81​.,,ARITMÉTICA,51​,81​,101​,121​,201​,
480,La raíz cuadrada de 144 es 12.,,ARITMÉTICA,10,11,12,13,14,
481,"¿Cuál es el sinónimo más adecuado de la palabra ""efímero""?",,HABILIDAD VERBAL,Eterno,Fugaz,Intenso,Transparente,Débil,B
482,"Si ""libro"" es a ""lectura"", entonces ""instrumento"" es a...",,HABILIDAD VERBAL,Música,Escritor,Científico,Instrumentista,Danza,A
483,Elija la opción donde las palabras sean antónimos.,,HABILIDAD VERBAL,Alegría - Euforia,Transparente - Opaco,Amable - Cortés,Pacífico - Tranquilo,Grande - Extenso,B
484,"¿Qué palabra continúa la serie? Casa, edificio, rascacielos, ...",,HABILIDAD VERBAL,Puente,Departamento,Colina,Torre,Barrio,D
485,"Elija la opción que complete correctamente la analogía: ""Óptico es a ojo como...""",,HABILIDAD VERBAL,Cardiólogo es a corazón,Piloto es a carretera,Pintor es a pincel,Director es a escuela,Cocinero es a comida,A
486,"Si ""correr"" es a ""maratón"", entonces ""nadar"" es a...",,HABILIDAD VERBAL,Agua,Competencia,Piscina,Natación,Estilo,D
487,"¿Qué palabra completa mejor la relación? ""Luz es a sombra como alegría es a...""",,HABILIDAD VERBAL,Esperanza,Tristeza,Sonrisa,Amor,Optimismo,B
488,Elija la opción donde haya un error de redundancia.,,HABILIDAD VERBAL,Sube arriba,La luna brilla en la noche,Entró dentro del auto,Salió afuera rápidamente,A y C,E
489,"¿Qué palabra NO es sinónimo de ""valiente""?",,HABILIDAD VERBAL,Intrépido,Audaz,Pusilánime,Osado,Arrojado,C
490,"Si ""día"" es a ""sol"", entonces ""noche"" es a...",,HABILIDAD VERBAL,Luna,Tierra,Nube,Océano,Sombra,A
491,"¿Qué palabra completa correctamente la siguiente serie? Uno, dos, cuatro, ocho, ...",,HABILIDAD VERBAL,Doce,Diez,Dieciséis,Quince,Veinte,C
492,Elija la opción donde las palabras sean parónimas.,,HABILIDAD VERBAL,Abrazar - Abrasar,Hacer - Hacer,Sede - Cede,Hasta - Asta,Excepción - Expectorar,A
493,"Si ""médico"" es a ""hospital"", entonces ""maestro"" es a...",,HABILIDAD VERBAL,Escuela,Aula,Pizarra,Educación,Universidad,A
494,"¿Cuál es el significado de la palabra ""adusto""?",,HABILIDAD VERBAL,Alegre,Serio,Fuerte,Cálido,Inseguro,B
495,"¿Qué palabra se relaciona con ""orfandad"" de la misma manera que ""viudez"" se relaciona con ""viudo""?",,HABILIDAD VERBAL,Desamparo,Niño,Huérfano,Familia,Madre,C
496,Elija la opción con palabras sinónimas.,,HABILIDAD VERBAL,Correr - Caminar,Brillante - Opaco,Lívido - Pálido,Rápido - Lento,Fácil - Difícil,C
497,"Si ""panadero"" es a ""pan"", entonces ""carpintero"" es a...",,HABILIDAD VERBAL,Hierro,Papel,Puerta,Madera,Casa,D
498,"¿Qué palabra es sinónimo de ""acervo""?",,HABILIDAD VERBAL,Conjunto,Escasez,Pérdida,Fragmento,Confusión,A
499,"¿Qué tipo de relación guardan las palabras ""sabio"" e ""ignorante""?",,HABILIDAD VERBAL,Sinonimia,Antonimia,Paronimia,Homonimia,Polisemia,B
500,"¿Qué palabra completa correctamente la analogía? ""Río es a agua como carretera es a...""",,HABILIDAD VERBAL,Asfalto,Puente,Auto,Tráfico,Trayecto,A
501,¿Qué palabra rompe la relación semántica?,,HABILIDAD VERBAL,Manzana,Pera,Sandía,Zanahoria,Durazno,D
502,Elija la opción que contiene un barbarismo.,,HABILIDAD VERBAL,Quisimos comprar el libro.,Hubieron muchas personas en la sala.,Fue a la tienda en la mañana.,Están jugando en el parque.,Me gusta la literatura.,B
503,"Si ""cuchillo"" es a ""cortar"", entonces ""martillo"" es a...",,HABILIDAD VERBAL,Perforar,Golpear,Tallar,Apretar,Atornillar,B
504,Elija la opción donde hay anfibología.,,HABILIDAD VERBAL,Me gusta la pintura de Miguel.,Juan trabaja en el hospital.,Las estrellas brillan en la noche.,Compré un auto rojo.,Los niños juegan en el parque.,A
505,"¿Qué tipo de relación existe entre las palabras ""banco"" y ""banco"" (asiento / institución financiera)?",,HABILIDAD VERBAL,Sinonimia,Homonimia,Paronimia,Polisemia,Antónimos,B
506,¿Qué oración presenta un error de concordancia?,,HABILIDAD VERBAL,Nosotros fuimos al cine.,Las luces del estadio estaban encendidas.,La mayoría de los estudiantes aprobé el examen.,Los niños juegan en el parque.,El perro ladra fuerte.,C
507,"Si ""día"" es a ""semana"", entonces ""mes"" es a...",,HABILIDAD VERBAL,Año,Década,Día,Hora,Calendario,A
508,¿Qué opción contiene un pleonasmo?,,HABILIDAD VERBAL,Salió afuera.,El mar es inmenso.,El niño juega en la calle.,Compré una bicicleta azul.,La profesora enseña matemáticas.,A
509,"¿Qué palabra es un sinónimo de ""indeleble""?",,HABILIDAD VERBAL,Borrable,Permanente,Tenaz,Débil,Insignificante,B
510,"Elija la opción que mejor complete la analogía: ""Lluvia es a paraguas como sol es a...""",,HABILIDAD VERBAL,Calor,Gafas,Sombra,Nieve,Día,B
511,Un operador matemático especial define la operación ⊕ como sigue: A ⊕ B = (A × B) + (A + B). ¿Cuál es el resultado de 4 ⊕ 3?,,HABILIDAD LÓGICO MATEMÁTICO,19,20,21,22,23,C
512,"¿Cuál es el siguiente número en la serie? 2, 6, 12, 20, 30, …",,HABILIDAD LÓGICO MATEMÁTICO,42,44,42,46,48,B
513,"Si 7x - 3 = 4x + 9, ¿cuánto vale x?",,HABILIDAD LÓGICO MATEMÁTICO,x = 4,x = 3,x = 4,x = 5,x = 6,C
514,Un número de dos cifras tiene la propiedad de que la suma de sus cifras es 8 y la diferencia entre el número original y el invertido es 36. ¿Cuál es el número?,,HABILIDAD LÓGICO MATEMÁTICO,53,62,71,44,80,A
515,"Si f(x) = x² - 4x + 3, ¿cuáles son los valores de x para los que f(x) = 0?",,HABILIDAD LÓGICO MATEMÁTICO,x = 1 y x = 3,x = 2 y x = 3,x = -1 y x = -3,x = 4 y x = 5,x = 0 y x = 6,A
516,Un reloj marca las 3:15. ¿Cuál es el ángulo entre la manecilla de las horas y la de los minutos?,,HABILIDAD LÓGICO MATEMÁTICO,7.5°,15°,7.5°,30°,45°,B
517,"Si log(x) = 2, ¿cuál es el valor de x?",,HABILIDAD LÓGICO MATEMÁTICO,x = 100,x = 10,x = 1000,x = 0.01,x = 1,B
518,"Un padre tiene el triple de la edad de su hijo. Dentro de 10 años, la suma de sus edades será 80. ¿Cuál es la edad del hijo actualmente?",,HABILIDAD LÓGICO MATEMÁTICO,20 años,15 años,25 años,10 años,30 años,D
519,"Si un número es aumentado en un 25% y luego reducido en un 20%, ¿cuál es el cambio neto en porcentaje?",,HABILIDAD LÓGICO MATEMÁTICO,Disminuye un 5%,0%,5%,10%,15%,C
520,¿Cuántos triángulos hay en una figura compuesta por un triángulo equilátero subdividido en 9 triángulos más pequeños?,,HABILIDAD LÓGICO MATEMÁTICO,27 triángulos,12 triángulos,15 triángulos,18 triángulos,24 triángulos,C
521,La ecuación de una recta es 3x - 2y = 6. ¿Cuál es la pendiente de la recta?,,HABILIDAD LÓGICO MATEMÁTICO,3/2,-3,2/3,-3/2,1/2,D
522,Un tren de 200 metros de longitud viaja a una velocidad de 90 km/h. ¿Cuánto tiempo tardará en cruzar completamente un puente de 300 metros de longitud?,,HABILIDAD LÓGICO MATEMÁTICO,20 segundos,15 segundos,20 segundos,25 segundos,30 segundos,C
523,"Si x es directamente proporcional a y y x = 10 cuando y = 4, ¿cuál es el valor de x cuando y = 10?",,HABILIDAD LÓGICO MATEMÁTICO,x = 25,x = 20,x = 25,x = 30,x = 35,C
524,"Si A = {1, 2, 3, 4} y B = {3, 4, 5, 6}, ¿cuál es la intersección A ∩ B?",,HABILIDAD LÓGICO MATEMÁTICO,"{3, 4}","{1, 2}","{5, 6}","{1, 2, 3, 4, 5, 6}",∅,B
525,"¿Cuántas permutaciones diferentes pueden formarse con las letras de la palabra ""CASA""?",,HABILIDAD LÓGICO MATEMÁTICO,12,24,36,48,120,B
526,"Un comerciante obtiene una ganancia del 20% sobre el costo. Si vende un artículo por 600 euros, ¿cuál fue su costo original?",,HABILIDAD LÓGICO MATEMÁTICO,500 euros,480 euros,500 euros,520 euros,550 euros,C
527,"En un grupo de 50 personas, 30 hablan inglés, 25 hablan francés y 10 hablan ambos idiomas. ¿Cuántas personas no hablan ninguno de estos idiomas?",,HABILIDAD LÓGICO MATEMÁTICO,5 personas,10 personas,15 personas,20 personas,25 personas,C
528,La suma de los ángulos internos de un polígono es 1440°. ¿Cuántos lados tiene el polígono?,,HABILIDAD LÓGICO MATEMÁTICO,10 lados,9 lados,10 lados,11 lados,12 lados,C
529,"Si x² + y² = 25 y x + y = 7, ¿cuál es el valor de xy?",,HABILIDAD LÓGICO MATEMÁTICO,xy = 12,xy = 13,xy = 14,xy = 15,xy = 16,B
530,"Si la probabilidad de que llueva el lunes es 0.7 y la probabilidad de que llueva el martes es 0.6, ¿cuál es la probabilidad de que llueva al menos un día? (Asume independencia).",,HABILIDAD LÓGICO MATEMÁTICO,0.88,0.42,0.58,0.88,0.9,D
531,"¿Cuántos números de tres cifras pueden formarse usando los dígitos 1, 2, 3, 4 y 5 sin repetir?",,HABILIDAD LÓGICO MATEMÁTICO,60 números,30 números,40 números,50 números,60 números,D
532,Un prisma rectangular tiene dimensiones 3 cm × 4 cm × 5 cm. ¿Cuál es su volumen?,,HABILIDAD LÓGICO MATEMÁTICO,60 cm³,50 cm³,60 cm³,70 cm³,80 cm³,D
533,¿Cuál es la inversa de la matriz [21​11​],,HABILIDAD LÓGICO MATEMÁTICO,[1−1​−12​],[2−1​−11​],[11​−12​],[1−1​−11​],[−11​1−2​],B
534,"Un triángulo tiene lados de 7 cm, 24 cm y 25 cm. ¿Es un triángulo rectángulo?",,HABILIDAD LÓGICO MATEMÁTICO,Sí,No,No se puede determinar,Solo si se rota,Ninguna de las anteriores,A
535,"Si a² - b² = (a - b)(a + b), ¿cuál es el resultado de 49 - 36 expresado en factores?",,HABILIDAD LÓGICO MATEMÁTICO,(7 - 6)(7 + 6),(8 - 5)(8 + 5),(10 - 3)(10 + 3),(9 - 4)(9 + 4),(11 - 2)(11 + 2),D
536,La suma de los primeros n números impares es 361. ¿Cuál es el valor de n?,,HABILIDAD LÓGICO MATEMÁTICO,n = 19,n = 18,n = 19,n = 20,n = 21,C
537,"Si el radio de un círculo es 6 cm, ¿cuál es su área en cm²?",,HABILIDAD LÓGICO MATEMÁTICO,36π cm²,48π cm²,72π cm²,100π cm²,144π cm²,A
538,"Si la suma de los ángulos exteriores de un polígono es siempre constante, ¿cuál es su valor en grados?",,HABILIDAD LÓGICO MATEMÁTICO,360°,270°,360°,540°,720°,C
539,"Si un número es divisible por 9, ¿cuál de las siguientes opciones debe ser verdadera?",,HABILIDAD LÓGICO MATEMÁTICO,La suma de sus dígitos es múltiplo de 9,Termina en 0,Es un número primo,La suma de sus cifras es impar,La suma de sus cifras es impar,B
540,"Si la base de un logaritmo es 2 y el resultado de log₂64 es x, ¿cuál es el valor de x?",,HABILIDAD LÓGICO MATEMÁTICO,x = 6,x = 5,x = 6,x = 7,x = 8,C